altogether,full,atleastone,region
Australian Capital Territory Australian Capital Territory 50.1% 25.9%,25.9,50.1,Australian Capital Territory
New South Wales Capital Region 50.0% 21.9%,21.9,50.0,Capital Region
New South Wales Central Coast 49.4% 23.3%,23.3,49.4,Central Coast
New South Wales Central West 43.1% 20.1%,20.1,43.1,Central West
New South Wales Coffs Harbour - Grafton 44.4% 17.8%,17.8,44.4,Coffs Harbour - Grafton
New South Wales Far West and Orana 36.9% 16.3%,16.3,36.9,Far West and Orana
New South Wales Hunter Valley exc Newcastle 40.6% 17.0%,17.0,40.6,Hunter Valley exc Newcastle
New South Wales Illawarra 46.7% 24.7%,24.7,46.7,Illawarra
New South Wales Mid North Coast 49.2% 21.6%,21.6,49.2,Mid North Coast
New South Wales Murray 48.3% 20.3%,20.3,48.3,Murray
New South Wales New England and North West 41.0% 18.1%,18.1,41.0,New England and North West
New South Wales Newcastle and Lake Macquarie 44.4% 20.3%,20.3,44.4,Newcastle and Lake Macquarie
New South Wales Richmond - Tweed 42.5% 20.0%,20.0,42.5,Richmond - Tweed
New South Wales Riverina 46.2% 22.2%,22.2,46.2,Riverina
New South Wales Southern Highlands and Shoalhaven 54.0% 26.6%,26.6,54.0,Southern Highlands and Shoalhaven
New South Wales Sydney - Baulkham Hills and Hawkesbury 56.0% 30.2%,30.2,56.0,Sydney - Baulkham Hills and Hawkesbury
New South Wales Sydney - Blacktown 45.6% 23.4%,23.4,45.6,Sydney - Blacktown
New South Wales Sydney - City and Inner South 40.8% 23.3%,23.3,40.8,Sydney - City and Inner South
New South Wales Sydney - Eastern Suburbs 49.3% 28.4%,28.4,49.3,Sydney - Eastern Suburbs
New South Wales Sydney - Inner South West 39.0% 19.1%,19.1,39.0,Sydney - Inner South West
New South Wales Sydney - Inner West 47.5% 27.0%,27.0,47.5,Sydney - Inner West
New South Wales Sydney - North Sydney and Hornsby 57.6% 32.0%,32.0,57.6,Sydney - North Sydney and Hornsby
New South Wales Sydney - Northern Beaches 53.7% 25.6%,25.6,53.7,Sydney - Northern Beaches
New South Wales Sydney - Outer South West 44.8% 21.7%,21.7,44.8,Sydney - Outer South West
New South Wales Sydney - Outer West and Blue Mountains 43.9% 21.1%,21.1,43.9,Sydney - Outer West and Blue Mountains
New South Wales Sydney - Parramatta 40.2% 21.2%,21.2,40.2,Sydney - Parramatta
New South Wales Sydney - Ryde 51.3% 28.0%,28.0,51.3,Sydney - Ryde
New South Wales Sydney - South West 38.6% 17.9%,17.9,38.6,Sydney - South West
New South Wales Sydney - Sutherland 55.0% 26.9%,26.9,55.0,Sydney - Sutherland
Northern Territory Darwin 45.9% 27.3%,27.3,45.9,Darwin
Northern Territory Northern Territory - Outback 35.6% 23.8%,23.8,35.6,Northern Territory - Outback
Queensland Brisbane - East 43.8% 20.9%,20.9,43.8,Brisbane - East
Queensland Brisbane - North 44.3% 25.2%,25.2,44.3,Brisbane - North
Queensland Brisbane - South 41.1% 23.8%,23.8,41.1,Brisbane - South
Queensland Brisbane - West 49.3% 28.7%,28.7,49.3,Brisbane - West
Queensland Brisbane Inner City 43.3% 25.7%,25.7,43.3,Brisbane Inner City
Queensland Cairns 41.7% 24.2%,24.2,41.7,Cairns
Queensland Darling Downs - Maranoa 39.2% 19.6%,19.6,39.2,Darling Downs - Maranoa
Queensland Central Queensland 33.0% 17.1%,17.1,33.0,Central Queensland
Queensland Gold Coast 37.2% 20.7%,20.7,37.2,Gold Coast
Queensland Ipswich 34.3% 18.2%,18.2,34.3,Ipswich
Queensland Logan - Beaudesert 31.2% 15.5%,15.5,31.2,Logan - Beaudesert
Queensland Mackay - Isaac - Whitsunday 29.8% 12.0%,12.0,29.8,Mackay - Isaac - Whitsunday
Queensland Moreton Bay - North 42.4% 22.1%,22.1,42.4,Moreton Bay - North
Queensland Moreton Bay - South 40.0% 21.3%,21.3,40.0,Moreton Bay - South
Queensland Queensland - Outback 28.5% 18.5%,18.5,28.5,Queensland - Outback
Queensland Sunshine Coast 45.5% 24.4%,24.4,45.5,Sunshine Coast
Queensland Toowoomba 39.9% 21.1%,21.1,39.9,Toowoomba
Queensland Townsville 38.8% 21.7%,21.7,38.8,Townsville
Queensland Wide Bay 42.4% 21.3%,21.3,42.4,Wide Bay
South Australia Adelaide - Central and Hills 48.0% 26.1%,26.1,48.0,Adelaide - Central and Hills
South Australia Adelaide - North 37.3% 17.8%,17.8,37.3,Adelaide - North
South Australia Adelaide - South 48.5% 26.1%,26.1,48.5,Adelaide - South
South Australia Adelaide - West 38.5% 19.5%,19.5,38.5,Adelaide - West
South Australia Barossa - Yorke - Mid North 40.5% 18.1%,18.1,40.5,Barossa - Yorke - Mid North
South Australia South Australia - Outback 38.0% 19.7%,19.7,38.0,South Australia - Outback
South Australia South Australia - South East 40.3% 19.6%,19.6,40.3,South Australia - South East
Tasmania Hobart 53.3% 29.1%,29.1,53.3,Hobart
Tasmania Launceston and North East 52.4% 30.8%,30.8,52.4,Launceston and North East
Tasmania South East 48.3% 22.8%,22.8,48.3,South East
Tasmania West and North West 45.1% 23.4%,23.4,45.1,West and North West
Victoria Ballarat 50.3% 26.6%,26.6,50.3,Ballarat
Victoria Bendigo 54.8% 28.9%,28.9,54.8,Bendigo
Victoria Geelong 53.6% 30.3%,30.3,53.6,Geelong
Victoria Hume 52.7% 23.7%,23.7,52.7,Hume
Victoria Latrobe - Gippsland 50.8% 24.2%,24.2,50.8,Latrobe - Gippsland
Victoria Melbourne - Inner 39.8% 22.4%,22.4,39.8,Melbourne - Inner
Victoria Melbourne - Inner East 50.1% 26.3%,26.3,50.1,Melbourne - Inner East
Victoria Melbourne - Inner South 51.4% 26.8%,26.8,51.4,Melbourne - Inner South
Victoria Melbourne - North East 41.8% 21.1%,21.1,41.8,Melbourne - North East
Victoria Melbourne - North West 36.7% 17.7%,17.7,36.7,Melbourne - North West
